feature,latent_dim,full_weight,mean_boot_weight,p_unc,p_fdr,fdr_significant,final_significant,thresholded_weight,sign
feature_163,0,0.06257980549716025,0.06672185439224143,0.021595680863827234,0.10020395920815836,False,False,0.0,zero
feature_164,0,-0.01380349562777367,-0.016161469994485596,0.5454909018196361,0.7611411849366654,False,False,0.0,zero
feature_165,0,0.009354455700978278,0.00940507743030608,0.7370525894821036,0.8501903579680105,False,False,0.0,zero
feature_166,0,0.11022652176540507,0.11485485597946071,0.0003999200159968006,0.005798840231953609,True,True,0.11022652176540507,positive
feature_167,0,0.027715555849252796,0.029919346355290206,0.3147370525894821,0.574952725990235,False,False,0.0,zero
feature_168,0,0.020754756769708498,0.023501253811853196,0.38712257548490303,0.6294963229576307,False,False,0.0,zero
feature_169,0,-0.06415873052452938,-0.06599595277357091,0.023595280943811237,0.10733539566596484,False,False,0.0,zero
feature_170,0,0.05730036507554431,0.06054863460781448,0.041591681663667265,0.1608211690995134,False,False,0.0,zero
feature_171,0,0.001452039268830154,0.004301224372421204,0.8894221155768847,0.9336919946327477,False,False,0.0,zero
feature_172,0,0.07251843775475021,0.07537200120858749,0.0023995200959808036,0.01988173793812666,True,True,0.07251843775475021,positive
feature_173,0,-0.0029086458656608955,-0.0062764684871897914,0.8322335532893421,0.9103906918146888,False,False,0.0,zero
feature_174,0,0.07087354917494917,0.07283010046868818,0.013597280543891222,0.0769407094190918,False,False,0.0,zero
feature_175,0,-0.048770504287265606,-0.051006942364037064,0.05038992201559688,0.17712821072149207,False,False,0.0,zero
feature_176,0,0.012764243454731646,0.012304924383495503,0.617876424715057,0.7774108336227492,False,False,0.0,zero
feature_177,0,-0.07104876202580175,-0.07337913852159386,0.007198560287942412,0.046390721855628876,True,True,-0.07104876202580175,negative
feature_178,0,-0.023274027025853454,-0.025061407082728346,0.39752049590081984,0.6360327934413118,False,False,0.0,zero
feature_179,0,-0.05396415805034196,-0.057352092347527035,0.01919616076784643,0.09672959025216234,False,False,0.0,zero
feature_180,0,0.02170175960118211,0.020512864663166035,0.41991601679664065,0.6446502907210766,False,False,0.0,zero
feature_181,0,0.012529529602863316,0.01425690926825905,0.5786842631473705,0.775424803307495,False,False,0.0,zero
feature_182,0,-0.04812812851273919,-0.05126429113048144,0.051989602079584085,0.18002369675318666,False,False,0.0,zero
feature_183,0,0.0730653840002903,0.07502665408406096,0.010397920415916816,0.06185429580750516,False,False,0.0,zero
feature_184,0,-0.09469661045156441,-0.09851170325315085,0.0007998400319936012,0.00843467670102343,True,True,-0.09469661045156441,negative
feature_185,0,-0.03102233595857104,-0.03327224191722803,0.28274345130973805,0.5247718456308739,False,False,0.0,zero
feature_186,0,0.032598586202026,0.03165466079442597,0.22075584883023394,0.4415116976604679,False,False,0.0,zero
feature_187,0,-0.08928938529275024,-0.09313233061020358,0.0003999200159968006,0.005798840231953609,True,True,-0.08928938529275024,negative
feature_188,0,0.07572037127732464,0.07680700441917807,0.001999600079984003,0.019329467439845364,True,True,0.07572037127732464,positive
feature_189,0,-0.036912339520082396,-0.036352186316332906,0.17156568686262746,0.39022783678558404,False,False,0.0,zero
feature_190,0,0.007503234810560472,0.008950071789605786,0.740251949610078,0.8501903579680105,False,False,0.0,zero
feature_191,0,0.01469293403111713,0.01675925303969833,0.555488902219556,0.7668113436136302,False,False,0.0,zero
feature_192,0,-0.0202081925710508,-0.021671528109264093,0.48150369926014797,0.6984540980002757,False,False,0.0,zero
feature_193,0,0.09700507654008088,0.10257615107766135,0.0003999200159968006,0.005798840231953609,True,True,0.09700507654008088,positive
feature_194,0,-0.049712284306257466,-0.04930258398155702,0.09558088382323535,0.2533246159756813,False,False,0.0,zero
feature_195,0,0.06256583538990824,0.0676707095428596,0.015596880623875225,0.0804105845497567,False,False,0.0,zero
feature_196,0,-0.012883063671444695,-0.013283907391653542,0.5982803439312138,0.775424803307495,False,False,0.0,zero
feature_197,0,0.049622470120952666,0.05166959436395177,0.04319136172765447,0.16426878558714486,False,False,0.0,zero
feature_198,0,0.06303831161690851,0.06282580628884843,0.021195760847830435,0.10020395920815836,False,False,0.0,zero
feature_199,0,0.017766534254589725,0.019878556406558574,0.45190961807638474,0.6635634898336789,False,False,0.0,zero
feature_200,0,-0.0057323846300649725,-0.006083422580974602,0.8358328334333134,0.9103906918146888,False,False,0.0,zero
feature_201,0,-0.07032385747792314,-0.07270492377346316,0.014797040591881624,0.07983519575154738,False,False,0.0,zero
feature_202,0,0.035518631070126636,0.03720714384439903,0.20675864827034593,0.4207719859536865,False,False,0.0,zero
feature_203,0,0.03896347679492326,0.04189964126891217,0.17716456708658268,0.3952132650392998,False,False,0.0,zero
feature_204,0,-0.016864879007333567,-0.017888085027321355,0.5618876224755049,0.7668113436136302,False,False,0.0,zero
feature_205,0,0.024482029645476293,0.02503087527479398,0.4263147370525895,0.6446502907210766,False,False,0.0,zero
feature_206,0,0.021209168128508156,0.024881748957432313,0.4143171365726855,0.6446502907210766,False,False,0.0,zero
feature_207,0,-0.026477884986660153,-0.029154222042826142,0.3219356128774245,0.5835082983403319,False,False,0.0,zero
feature_208,0,0.01587756393654688,0.016476315382878196,0.5966806638672265,0.775424803307495,False,False,0.0,zero
feature_209,0,-0.04465285627185487,-0.04591448755929267,0.1259748050389922,0.31425972869942137,False,False,0.0,zero
feature_210,0,-0.054804732261690865,-0.05783856149294716,0.06718656268746251,0.19930828649084997,False,False,0.0,zero
feature_211,0,0.011533845179001773,0.011576027143294233,0.7262547490501899,0.8501903579680105,False,False,0.0,zero
feature_212,0,-0.009214246873293279,-0.01241339086724184,0.6354729054189162,0.7774108336227492,False,False,0.0,zero
feature_213,0,0.0009205060920044459,-0.0010699313738355696,0.9618076384723055,0.9744077385396283,False,False,0.0,zero
feature_214,0,0.07321566262112676,0.07706504908052111,0.00639872025594881,0.04241437426800354,True,True,0.07321566262112676,positive
feature_215,0,0.04391303667663804,0.04442666806286809,0.11997600479904019,0.3025481860149709,False,False,0.0,zero
feature_216,0,0.017676706635481917,0.01719741535893541,0.587882423515297,0.775424803307495,False,False,0.0,zero
feature_217,0,-0.050086328808132255,-0.055646054641418356,0.060387922415516895,0.1905112310871159,False,False,0.0,zero
feature_218,0,0.03376983954873709,0.03384957497082684,0.27994401119776047,0.5237662144990357,False,False,0.0,zero
feature_219,0,0.011575786210727404,0.01520710941684996,0.6366726654669066,0.7774108336227492,False,False,0.0,zero
feature_220,0,-0.013455720655421376,-0.015567001598303067,0.6110777844431113,0.7774108336227492,False,False,0.0,zero
feature_221,0,0.00481611828242263,0.005013623899477767,0.8842231553689263,0.9332969769682427,False,False,0.0,zero
